host_id,name,price,host_is_superhost,neighbourhood,host_name,beds,review_scores_rating
51466,Rental unit in Vancouver · ★4.84 · Studio · 2 beds · 1 bath,$150.00,f,"Vancouver, British Columbia, Canada",Ian And Emma,2.0,4.84
51634,Rental unit in Vancouver · ★4.73 · 1 bedroom · 2 beds · 1 bath,$120.00,f,"Vancouver, British Columbia, Canada",Amanda,2.0,4.73
52116,Condo in Vancouver · ★4.68 · 1 bedroom · 1 bed · 1 bath,$165.00,f,"Vancouver, British Columbia, Canada",Lynn,1.0,4.68
52467,Rental unit in Vancouver · ★4.93 · 1 bedroom · 1 bed · 1 bath,$150.00,t,"Vancouver, British Columbia, Canada",Iris,1.0,4.93
56030,Home in Vancouver · ★4.76 · 1 bedroom · 2 beds · 1 bath,$150.00,f,"Vancouver, British Columbia, Canada",Peter & Alison,2.0,4.76
63238,Guest suite in Vancouver · ★4.57 · 2 bedrooms · 3 beds · 1 bath,$800.00,f,"Vancouver, British Columbia, Canada",Jason,3.0,4.57
58512,Home in Vancouver · ★4.0 · 3 bedrooms · 4 beds · 1 bath,$100.00,f,"Vancouver, British Columbia, Canada",Q,4.0,4.0
70437,Condo in Vancouver · ★4.54 · 1 bedroom · 1 bed · 1 shared bath,$51.00,f,"Vancouver, British Columbia, Canada",Ran,1.0,4.54
71508,Home in Vancouver · ★4.98 · 1 bedroom · 1 bed · 1 private bath,$99.00,t,"Vancouver, British Columbia, Canada",Sylvain & Alexis,1.0,4.98
74380,Rental unit in Vancouver · 2 bedrooms · 2 beds · 2 baths,$250.00,f,"Vancouver, British Columbia, Canada",Shirin,2.0,4.0
75986,Guest suite in Vancouver · ★4.80 · 2 bedrooms · 2 beds · 1 bath,$99.00,f,"Vancouver, British Columbia, Canada",Tony And Rachel,2.0,4.8
1267409,Rental unit in Vancouver · ★5.0 · 2 bedrooms · 3 beds · 1 bath,$150.00,f,"Vancouver, British Columbia, Canada",Julia,3.0,5.0
109845,Condo in Vancouver · ★4.75 · 1 bedroom · 2 beds · 1 bath,$169.00,t,"Vancouver, British Columbia, Canada",Alicia,2.0,4.75
143724,Rental unit in Vancouver · ★4.97 · 1 bedroom · 2 beds · 1 bath,$125.00,t,"Vancouver, British Columbia, Canada",Ili,2.0,4.97
151996,Home in Vancouver · ★4.76 · 1 bedroom · 1 bed · 1 bath,$99.00,t,"Vancouver, British Columbia, Canada",Howie And Lisa,1.0,4.76
109845,Condo in Vancouver · ★4.79 · 1 bedroom · 2 beds · 1 bath,$169.00,t,"Vancouver, British Columbia, Canada",Alicia,2.0,4.79
56709,Home in Vancouver · ★4.95 · 2 bedrooms · 2 beds · 1.5 baths,$391.00,t,"Vancouver, British Columbia, Canada",Samantha Jo,2.0,4.95
386761,Rental unit in Vancouver · ★4.74 · 1 bedroom · 1 bed · 1 bath,$139.00,f,"Vancouver, British Columbia, Canada",Ying Ying,1.0,4.74
412802,Guest suite in Vancouver · ★4.82 · 1 bedroom · 3 beds · 1 bath,$125.00,t,"Vancouver, British Columbia, Canada",Anne,3.0,4.82
622926,Home in Vancouver · ★4.67 · 1 bedroom · 2 beds · 1 private bath,$90.00,f,"Vancouver, British Columbia, Canada",Mark,2.0,4.67
69640,Home in Vancouver · ★4.86 · 1 bedroom · 2 beds · 1 private bath,$125.00,t,"Vancouver, British Columbia, Canada",Stephen,2.0,4.86
874660,Guest suite in Vancouver · ★4.88 · 1 bedroom · 1 bed · 1 bath,$131.00,f,"Vancouver, British Columbia, Canada",Penny,1.0,4.88
1135259,Rental unit in Vancouver · ★4.60 · 2 bedrooms · 2 beds · 1 bath,$123.00,t,"Vancouver, British Columbia, Canada",Rami,2.0,4.6
1299977,Home in Vancouver · 2 bedrooms · 2 beds · 1 bath,$100.00,f,"Vancouver, British Columbia, Canada",Gabriella,2.0,5.0
241920,Loft in Vancouver · ★4.93 · 1 bedroom · 1 bed · 1 bath,$298.00,t,"Vancouver, British Columbia, Canada",Scott,1.0,4.93
1267409,Home in Vancouver · ★5.0 · 2 bedrooms · 4 beds · 1 bath,$145.00,f,"Vancouver, British Columbia, Canada",Julia,4.0,5.0
70797,Rental unit in Vancouver · ★4.88 · 1 bedroom · 2 beds · 1.5 baths,$65.00,f,"Vancouver, British Columbia, Canada",Adrianna,2.0,4.88
58512,Home in Vancouver · ★4.0 · 3 bedrooms · 3 beds · 2 baths,$100.00,f,"Vancouver, British Columbia, Canada",Q,3.0,4.0
1555022,Rental unit in Vancouver · ★4.77 · 1 bedroom · 1 bed · 1 bath,$168.00,t,"Vancouver, British Columbia, Canada",Katya And Nick,1.0,4.77
1200456,Rental unit in Vancouver · ★4.86 · 2 bedrooms · 1 bed · 1 shared bath,$255.00,t,"Vancouver, British Columbia, Canada",Nala,1.0,4.86
179396,Condo in Vancouver · ★4.88 · 1 bedroom · 1 bed · 1 bath,$158.00,t,"Vancouver, British Columbia, Canada",Lili,1.0,4.88
2189535,Home in Vancouver · ★4.86 · 2 bedrooms · 2 beds · 1 bath,$108.00,t,"Vancouver, British Columbia, Canada",Martine,2.0,4.86
2356016,Loft in Vancouver · ★4.85 · 1 bedroom · 1 bed · 1.5 baths,"$1,000.00",t,"Vancouver, British Columbia, Canada",Jocelyn,1.0,4.85
2459577,Home in Vancouver · ★4.71 · 4 bedrooms · 4 beds · 2 baths,$475.00,t,"Vancouver, British Columbia, Canada",Allison,4.0,4.71
2502595,Serviced apartment in Vancouver · ★5.0 · 1 bedroom · 1 bed · 1 bath,$260.00,t,"Vancouver, British Columbia, Canada",Level Hotels And Furnished Suites,1.0,5.0
2655554,Home in Vancouver · ★4.92 · 3 bedrooms · 3 beds · 1 bath,$486.00,t,"Vancouver, British Columbia, Canada",Kristen,3.0,4.92
525761,Home in Vancouver · ★4.89 · 1 bedroom · 1 bed · 1 bath,$90.00,f,"Vancouver, British Columbia, Canada",Diane,1.0,4.89
3084195,Condo in Vancouver · ★4.97 · 3 bedrooms · 3 beds · 2 baths,$575.00,t,"Vancouver, British Columbia, Canada",Arash,3.0,4.97
893727,Guest suite in Vancouver · ★4.88 · 1 bedroom · 1 bed · 1 bath,$88.00,t,"Vancouver, British Columbia, Canada",Peter & Robin,1.0,4.88
2796859,Rental unit in Vancouver · ★4.74 · 2 bedrooms · 3 beds · 2 baths,$150.00,f,"Vancouver, British Columbia, Canada",James,3.0,4.74
84820,Home in Vancouver · ★4.33 · 1 bedroom · 1 bed · 1 private bath,$100.00,f,"Vancouver, British Columbia, Canada",Chris,1.0,4.33
3671073,Rental unit in Vancouver · ★4.78 · 1 bedroom · 1 bed · 1 bath,$135.00,t,"Vancouver, British Columbia, Canada",Susan,1.0,4.78
3804851,Guesthouse in Vancouver · ★4.92 · 1 bedroom · 2 beds · 1 bath,$155.00,f,"Vancouver, British Columbia, Canada",Fran & Julian,2.0,4.92
2502595,Serviced apartment in Vancouver · ★5.0 · Studio · 1 bed · 1 bath,$240.00,t,"Vancouver, British Columbia, Canada",Level Hotels And Furnished Suites,1.0,5.0
2502595,Serviced apartment in Vancouver · ★4.73 · 2 bedrooms · 3 beds · 2 baths,$385.00,t,"Vancouver, British Columbia, Canada",Level Hotels And Furnished Suites,3.0,4.73
3211112,Guest suite in Vancouver · ★5.0 · 2 bedrooms · 3 beds · 2 baths,$125.00,t,"Vancouver, British Columbia, Canada",Rasha,3.0,5.0
4326869,Guest suite in Vancouver · ★4.61 · 1 bedroom · 1 bed · 1 bath,$84.00,t,"Vancouver, British Columbia, Canada",Marketa,1.0,4.61
4693732,Guest suite in Vancouver · ★4.92 · 1 bedroom · 1 bed · 1 bath,$140.00,t,"Vancouver, British Columbia, Canada",David & Patti,1.0,4.92
5569906,Home in Vancouver · ★4.79 · 1 bedroom · 1 bed · 1.5 baths,$84.00,t,"Vancouver, British Columbia, Canada",Mark Anthony,1.0,4.79
5623565,Condo in Vancouver · ★4.85 · Studio · 2 beds · 1 bath,$70.00,f,"Vancouver, British Columbia, Canada",Hajime,2.0,4.85
2378744,Home in Vancouver · ★4.85 · 1 bedroom · 1 bed · 1 private bath,$125.00,t,"Vancouver, British Columbia, Canada",Lori,1.0,4.85
